,Unnamed: 0,task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session,syl_group,syl_type,resp_group,resp_type,correct,valid,year,generalized
18,18,No;skaters;poets/Some not;miners;skaters,Some not;miners;poets,All;poets;miners|All;miners;poets|No;poets;miners|No;miners;poets|Some;poets;miners|Some;miners;poets|Some not;poets;miners|Some not;miners;poets|Most;poets;miners|Most;miners;poets|Most not;poets;miners|Most not;miners;poets|NVC,syllogistic-generalized,single-choice,21_participant_0,18,53914.0,EO2,Oca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,EO,ue,O,e,False,False,2021,False
20,20,All;tailors;pilots/No;tailors;singers,No;singers;pilots,All;pilots;singers|All;singers;pilots|No;pilots;singers|No;singers;pilots|Some;pilots;singers|Some;singers;pilots|Some not;pilots;singers|Some not;singers;pilots|Most;pilots;singers|Most;singers;pilots|Most not;pilots;singers|Most not;singers;pilots|NVC,syllogistic-generalized,single-choice,21_participant_0,20,26886.0,AE4,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AE,uu,E,u,False,True,2021,False
21,21,All;fencers;campers/Some;fencers;engineers,Some;campers;engineers,All;campers;engineers|All;engineers;campers|No;campers;engineers|No;engineers;campers|Some;campers;engineers|Some;engineers;campers|Some not;campers;engineers|Some not;engineers;campers|Most;campers;engineers|Most;engineers;campers|Most not;campers;engineers|Most not;engineers;campers|NVC,syllogistic-generalized,single-choice,21_participant_0,21,32581.0,AI4,Iac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AI,ue,I,e,True,True,2021,False
25,25,All;cleaners;painters/Some;painters;auditors,Some;cleaners;auditors,All;cleaners;auditors|All;auditors;cleaners|No;cleaners;auditors|No;auditors;cleaners|Some;cleaners;auditors|Some;auditors;cleaners|Some not;cleaners;auditors|Some not;auditors;cleaners|Most;cleaners;auditors|Most;auditors;cleaners|Most not;cleaners;auditors|Most not;auditors;cleaners|NVC,syllogistic-generalized,single-choice,21_participant_0,25,20504.0,AI1,Iac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AI,ue,I,e,False,False,2021,False
30,30,No;painters;auditors/No;auditors;cleaners,No;painters;cleaners,All;painters;cleaners|All;cleaners;painters|No;painters;cleaners|No;cleaners;painters|Some;painters;cleaners|Some;cleaners;painters|Some not;painters;cleaners|Some not;cleaners;painters|Most;painters;cleaners|Most;cleaners;painters|Most not;painters;cleaners|Most not;cleaners;painters|NVC,syllogistic-generalized,single-choice,21_participant_0,30,14548.0,EE1,Eac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,EE,uu,E,u,False,False,2021,False
33,33,All;planners;surfers/All;planners;artists,NVC,All;surfers;artists|All;artists;surfers|No;surfers;artists|No;artists;surfers|Some;surfers;artists|Some;artists;surfers|Some not;surfers;artists|Some not;artists;surfers|Most;surfers;artists|Most;artists;surfers|Most not;surfers;artists|Most not;artists;surfers|NVC,syllogistic-generalized,single-choice,21_participant_0,33,41756.0,AA4,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AA,uu,NVC,NVC,False,True,2021,False
36,36,Some not;athletes;lawyers/Some not;hunters;athletes,NVC,All;lawyers;hunters|All;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|Most;lawyers;hunters|Most;hunters;lawyers|Most not;lawyers;hunters|Most not;hunters;lawyers|NVC,syllogistic-generalized,single-choice,21_participant_0,36,18292.0,OO2,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,OO,ee,NVC,NVC,True,False,2021,False
41,41,Some;sailors;potters/All;potters;chemists,Some;chemists;sailors,All;sailors;chemists|All;chemists;sailors|No;sailors;chemists|No;chemists;sailors|Some;sailors;chemists|Some;chemists;sailors|Some not;sailors;chemists|Some not;chemists;sailors|Most;sailors;chemists|Most;chemists;sailors|Most not;sailors;chemists|Most not;chemists;sailors|NVC,syllogistic-generalized,single-choice,21_participant_0,41,16500.0,IA1,Ica,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AI,ue,I,e,True,True,2021,False
42,42,No;campers;engineers/Some;fencers;engineers,No;campers;fencers,All;campers;fencers|All;fencers;campers|No;campers;fencers|No;fencers;campers|Some;campers;fencers|Some;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|Most;campers;fencers|Most;fencers;campers|Most not;campers;fencers|Most not;fencers;campers|NVC,syllogistic-generalized,single-choice,21_participant_0,42,35042.0,EI3,Eac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,EI,ue,E,u,False,True,2021,False
44,44,Some not;skaters;miners/Some;poets;skaters,Some;poets;miners,All;miners;poets|All;poets;miners|No;miners;poets|No;poets;miners|Some;miners;poets|Some;poets;miners|Some not;miners;poets|Some not;poets;miners|Most;miners;poets|Most;poets;miners|Most not;miners;poets|Most not;poets;miners|NVC,syllogistic-generalized,single-choice,21_participant_0,44,26531.0,OI2,Ica,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,IO,ee,I,e,False,False,2021,False
46,46,No;joggers;riders/No;counselors;riders,NVC,All;joggers;counselors|All;counselors;joggers|No;joggers;counselors|No;counselors;joggers|Some;joggers;counselors|Some;counselors;joggers|Some not;joggers;counselors|Some not;counselors;joggers|Most;joggers;counselors|Most;counselors;joggers|Most not;joggers;counselors|Most not;counselors;joggers|NVC,syllogistic-generalized,single-choice,21_participant_0,46,24844.0,EE3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,EE,uu,NVC,NVC,True,False,2021,False
49,49,Some;editors;florists/Some;soldiers;florists,NVC,All;editors;soldiers|All;soldiers;editors|No;editors;soldiers|No;soldiers;editors|Some;editors;soldiers|Some;soldiers;editors|Some not;editors;soldiers|Some not;soldiers;editors|Most;editors;soldiers|Most;soldiers;editors|Most not;editors;soldiers|Most not;soldiers;editors|NVC,syllogistic-generalized,single-choice,21_participant_0,49,9670.0,II3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,II,ee,NVC,NVC,True,False,2021,False
50,50,Some;travelers;analysts/No;travelers;novelists,No;novelists;analysts,All;analysts;novelists|All;novelists;analysts|No;analysts;novelists|No;novelists;analysts|Some;analysts;novelists|Some;novelists;analysts|Some not;analysts;novelists|Some not;novelists;analysts|Most;analysts;novelists|Most;novelists;analysts|Most not;analysts;novelists|Most not;novelists;analysts|NVC,syllogistic-generalized,single-choice,21_participant_0,50,46683.0,IE4,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,EI,ue,E,u,False,True,2021,False
51,51,No;tellers;doctors/All;climbers;tellers,No;climbers;doctors,All;doctors;climbers|All;climbers;doctors|No;doctors;climbers|No;climbers;doctors|Some;doctors;climbers|Some;climbers;doctors|Some not;doctors;climbers|Some not;climbers;doctors|Most;doctors;climbers|Most;climbers;doctors|Most not;doctors;climbers|Most not;climbers;doctors|NVC,syllogistic-generalized,single-choice,21_participant_0,51,28572.0,EA2,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AE,uu,E,u,True,True,2021,False
52,52,No;poets;waiters/Some not;poets;cashiers,No;waiters;cashiers,All;waiters;cashiers|All;cashiers;waiters|No;waiters;cashiers|No;cashiers;waiters|Some;waiters;cashiers|Some;cashiers;waiters|Some not;waiters;cashiers|Some not;cashiers;waiters|Most;waiters;cashiers|Most;cashiers;waiters|Most not;waiters;cashiers|Most not;cashiers;waiters|NVC,syllogistic-generalized,single-choice,21_participant_0,52,59239.0,EO4,Eac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,EO,ue,E,u,False,False,2021,False
53,53,All;waiters;cashiers/All;poets;waiters,All;poets;cashiers,All;cashiers;poets|All;poets;cashiers|No;cashiers;poets|No;poets;cashiers|Some;cashiers;poets|Some;poets;cashiers|Some not;cashiers;poets|Some not;poets;cashiers|Most;cashiers;poets|Most;poets;cashiers|Most not;cashiers;poets|Most not;poets;cashiers|NVC,syllogistic-generalized,single-choice,21_participant_0,53,15699.0,AA2,Aca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AA,uu,A,u,True,True,2021,False
54,54,Some;boxers;opticians/No;actuaries;boxers,No;actuaries;opticians,All;opticians;actuaries|All;actuaries;opticians|No;opticians;actuaries|No;actuaries;opticians|Some;opticians;actuaries|Some;actuaries;opticians|Some not;opticians;actuaries|Some not;actuaries;opticians|Most;opticians;actuaries|Most;actuaries;opticians|Most not;opticians;actuaries|Most not;actuaries;opticians|NVC,syllogistic-generalized,single-choice,21_participant_0,54,30869.0,IE2,Eca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,EI,ue,E,u,False,True,2021,False
55,55,Some not;carpenters;divers/No;linguists;divers,Some not;linguists;carpenters,All;carpenters;linguists|All;linguists;carpenters|No;carpenters;linguists|No;linguists;carpenters|Some;carpenters;linguists|Some;linguists;carpenters|Some not;carpenters;linguists|Some not;linguists;carpenters|Most;carpenters;linguists|Most;linguists;carpenters|Most not;carpenters;linguists|Most not;linguists;carpenters|NVC,syllogistic-generalized,single-choice,21_participant_0,55,93436.0,OE3,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,EO,ue,O,e,False,False,2021,False
57,57,All;engineers;campers/Some not;fencers;engineers,Some not;campers;fencers,All;campers;fencers|All;fencers;campers|No;campers;fencers|No;fencers;campers|Some;campers;fencers|Some;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|Most;campers;fencers|Most;fencers;campers|Most not;campers;fencers|Most not;fencers;campers|NVC,syllogistic-generalized,single-choice,21_participant_0,57,63199.0,AO2,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AO,ue,O,e,False,False,2021,False
58,58,All;cyclists;buyers/Some not;buyers;students,Some not;cyclists;students,All;cyclists;students|All;students;cyclists|No;cyclists;students|No;students;cyclists|Some;cyclists;students|Some;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|Most;cyclists;students|Most;students;cyclists|Most not;cyclists;students|Most not;students;cyclists|NVC,syllogistic-generalized,single-choice,21_participant_0,58,2682.0,AO1,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AO,ue,O,e,False,False,2021,False
60,60,Some;surfers;artists/Some not;artists;planners,Some not;surfers;planners,All;surfers;planners|All;planners;surfers|No;surfers;planners|No;planners;surfers|Some;surfers;planners|Some;planners;surfers|Some not;surfers;planners|Some not;planners;surfers|Most;surfers;planners|Most;planners;surfers|Most not;surfers;planners|Most not;planners;surfers|NVC,syllogistic-generalized,single-choice,21_participant_0,60,3412.0,IO1,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,IO,ee,O,e,False,False,2021,False
62,62,No;riders;joggers/No;counselors;riders,No;counselors;joggers,All;joggers;counselors|All;counselors;joggers|No;joggers;counselors|No;counselors;joggers|Some;joggers;counselors|Some;counselors;joggers|Some not;joggers;counselors|Some not;counselors;joggers|Most;joggers;counselors|Most;counselors;joggers|Most not;joggers;counselors|Most not;counselors;joggers|NVC,syllogistic-generalized,single-choice,21_participant_0,62,2319.0,EE2,Eca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,EE,uu,E,u,False,False,2021,False
66,66,Some not;editors;florists/Some not;editors;soldiers,NVC,All;florists;soldiers|All;soldiers;florists|No;florists;soldiers|No;soldiers;florists|Some;florists;soldiers|Some;soldiers;florists|Some not;florists;soldiers|Some not;soldiers;florists|Most;florists;soldiers|Most;soldiers;florists|Most not;florists;soldiers|Most not;soldiers;florists|NVC,syllogistic-generalized,single-choice,21_participant_0,66,22536.0,OO4,NVC,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,OO,ee,NVC,NVC,True,False,2021,False
69,69,Some not;skaters;miners/All;poets;miners,Some not;skaters;poets,All;skaters;poets|All;poets;skaters|No;skaters;poets|No;poets;skaters|Some;skaters;poets|Some;poets;skaters|Some not;skaters;poets|Some not;poets;skaters|Most;skaters;poets|Most;poets;skaters|Most not;skaters;poets|Most not;poets;skaters|NVC,syllogistic-generalized,single-choice,21_participant_0,69,13733.0,OA3,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AO,ue,O,e,True,True,2021,False
70,70,Some not;investors;barbers/All;investors;jugglers,Some not;jugglers;barbers,All;barbers;jugglers|All;jugglers;barbers|No;barbers;jugglers|No;jugglers;barbers|Some;barbers;jugglers|Some;jugglers;barbers|Some not;barbers;jugglers|Some not;jugglers;barbers|Most;barbers;jugglers|Most;jugglers;barbers|Most not;barbers;jugglers|Most not;jugglers;barbers|NVC,syllogistic-generalized,single-choice,21_participant_0,70,26818.0,OA4,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AO,ue,O,e,True,True,2021,False
72,72,Some not;lifeguards;plumbers/No;dentists;lifeguards,Some not;plumbers;dentists,All;plumbers;dentists|All;dentists;plumbers|No;plumbers;dentists|No;dentists;plumbers|Some;plumbers;dentists|Some;dentists;plumbers|Some not;plumbers;dentists|Some not;dentists;plumbers|Most;plumbers;dentists|Most;dentists;plumbers|Most not;plumbers;dentists|Most not;dentists;plumbers|NVC,syllogistic-generalized,single-choice,21_participant_0,72,21950.0,OE2,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,EO,ue,O,e,False,False,2021,False
75,75,No;tutors;packers/All;butchers;packers,No;butchers;tutors,All;tutors;butchers|All;butchers;tutors|No;tutors;butchers|No;butchers;tutors|Some;tutors;butchers|Some;butchers;tutors|Some not;tutors;butchers|Some not;butchers;tutors|Most;tutors;butchers|Most;butchers;tutors|Most not;tutors;butchers|Most not;butchers;tutors|NVC,syllogistic-generalized,single-choice,21_participant_0,75,16849.0,EA3,Eca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AE,uu,E,u,True,True,2021,False
80,80,All;dancers;boxers/No;boxers;typists,No;dancers;typists,All;dancers;typists|All;typists;dancers|No;dancers;typists|No;typists;dancers|Some;dancers;typists|Some;typists;dancers|Some not;dancers;typists|Some not;typists;dancers|Most;dancers;typists|Most;typists;dancers|Most not;dancers;typists|Most not;typists;dancers|NVC,syllogistic-generalized,single-choice,21_participant_0,80,14177.0,AE1,Eac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AE,uu,E,u,True,True,2021,False
82,82,All;investors;barbers/No;jugglers;barbers,No;jugglers;investors,All;investors;jugglers|All;jugglers;investors|No;investors;jugglers|No;jugglers;investors|Some;investors;jugglers|Some;jugglers;investors|Some not;investors;jugglers|Some not;jugglers;investors|Most;investors;jugglers|Most;jugglers;investors|Most not;investors;jugglers|Most not;jugglers;investors|NVC,syllogistic-generalized,single-choice,21_participant_0,82,27850.0,AE3,Eca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AE,uu,E,u,True,True,2021,False
83,83,All;butchers;tutors/All;packers;tutors,NVC,All;butchers;packers|All;packers;butchers|No;butchers;packers|No;packers;butchers|Some;butchers;packers|Some;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|Most;butchers;packers|Most;packers;butchers|Most not;butchers;packers|Most not;packers;butchers|NVC,syllogistic-generalized,single-choice,21_participant_0,83,23290.0,AA3,NVC,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AA,uu,NVC,NVC,True,False,2021,False
86,86,Some;brokers;agents/Some;brokers;secretaries,NVC,All;agents;secretaries|All;secretaries;agents|No;agents;secretaries|No;secretaries;agents|Some;agents;secretaries|Some;secretaries;agents|Some not;agents;secretaries|Some not;secretaries;agents|Most;agents;secretaries|Most;secretaries;agents|Most not;agents;secretaries|Most not;secretaries;agents|NVC,syllogistic-generalized,single-choice,21_participant_0,86,14303.0,II4,NVC,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,II,ee,NVC,NVC,True,False,2021,False
89,89,Some not;assistants;farmers/No;assistants;scholars,Some;scholars;farmers,All;farmers;scholars|All;scholars;farmers|No;farmers;scholars|No;scholars;farmers|Some;farmers;scholars|Some;scholars;farmers|Some not;farmers;scholars|Some not;scholars;farmers|Most;farmers;scholars|Most;scholars;farmers|Most not;farmers;scholars|Most not;scholars;farmers|NVC,syllogistic-generalized,single-choice,21_participant_0,89,41059.0,OE4,Ica,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,EO,ue,I,e,False,False,2021,False
91,91,Some;singers;pilots/Some;pilots;tailors,Some;tailors;singers,All;singers;tailors|All;tailors;singers|No;singers;tailors|No;tailors;singers|Some;singers;tailors|Some;tailors;singers|Some not;singers;tailors|Some not;tailors;singers|Most;singers;tailors|Most;tailors;singers|Most not;singers;tailors|Most not;tailors;singers|NVC,syllogistic-generalized,single-choice,21_participant_0,91,2204.0,II1,Ica,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,II,ee,I,e,False,False,2021,False
92,92,Some not;cleaners;painters/Some;painters;auditors,Some not;auditors;cleaners,All;cleaners;auditors|All;auditors;cleaners|No;cleaners;auditors|No;auditors;cleaners|Some;cleaners;auditors|Some;auditors;cleaners|Some not;cleaners;auditors|Some not;auditors;cleaners|Most;cleaners;auditors|Most;auditors;cleaners|Most not;cleaners;auditors|Most not;auditors;cleaners|NVC,syllogistic-generalized,single-choice,21_participant_0,92,57684.0,OI1,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,IO,ee,O,e,False,False,2021,False
93,93,No;drillers;actors/Some;drillers;nurses,No;actors;nurses,All;actors;nurses|All;nurses;actors|No;actors;nurses|No;nurses;actors|Some;actors;nurses|Some;nurses;actors|Some not;actors;nurses|Some not;nurses;actors|Most;actors;nurses|Most;nurses;actors|Most not;actors;nurses|Most not;nurses;actors|NVC,syllogistic-generalized,single-choice,21_participant_0,93,30591.0,EI4,Eac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,EI,ue,E,u,False,True,2021,False
