,Unnamed: 0,task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session,syl_group,syl_type,resp_group,resp_type,correct,valid,year,generalized
23,23,Some;editors;florists/Most not;editors;soldiers,Some not;florists;soldiers,All;florists;soldiers|All;soldiers;florists|No;florists;soldiers|No;soldiers;florists|Some;florists;soldiers|Some;soldiers;florists|Some not;florists;soldiers|Some not;soldiers;florists|Most;florists;soldiers|Most;soldiers;florists|Most not;florists;soldiers|Most not;soldiers;florists|NVC,syllogistic-generalized,single-choice,21_participant_0,23,136758.0,ID4,Oac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ID,ge,O,e,False,False,2021,True
24,24,No;farmers;scholars/Most;assistants;farmers,Most not;assistants;scholars,All;scholars;assistants|All;assistants;scholars|No;scholars;assistants|No;assistants;scholars|Some;scholars;assistants|Some;assistants;scholars|Some not;scholars;assistants|Some not;assistants;scholars|Most;scholars;assistants|Most;assistants;scholars|Most not;scholars;assistants|Most not;assistants;scholars|NVC,syllogistic-generalized,single-choice,21_participant_0,24,25297.0,ET2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ET,ug,D,g,True,True,2021,True
26,26,No;jugglers;investors/Most;investors;barbers,Most not;jugglers;barbers,All;jugglers;barbers|All;barbers;jugglers|No;jugglers;barbers|No;barbers;jugglers|Some;jugglers;barbers|Some;barbers;jugglers|Some not;jugglers;barbers|Some not;barbers;jugglers|Most;jugglers;barbers|Most;barbers;jugglers|Most not;jugglers;barbers|Most not;barbers;jugglers|NVC,syllogistic-generalized,single-choice,21_participant_0,26,77553.0,ET1,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ET,ug,D,g,False,True,2021,True
27,27,Most not;climbers;skaters/Most;therapists;skaters,Most not;climbers;therapists,All;climbers;therapists|All;therapists;climbers|No;climbers;therapists|No;therapists;climbers|Some;climbers;therapists|Some;therapists;climbers|Some not;climbers;therapists|Some not;therapists;climbers|Most;climbers;therapists|Most;therapists;climbers|Most not;climbers;therapists|Most not;therapists;climbers|NVC,syllogistic-generalized,single-choice,21_participant_0,27,29324.0,DT3,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,TD,gg,D,g,False,False,2021,True
28,28,Some not;riders;counselors/Most not;joggers;counselors,NVC,All;riders;joggers|All;joggers;riders|No;riders;joggers|No;joggers;riders|Some;riders;joggers|Some;joggers;riders|Some not;riders;joggers|Some not;joggers;riders|Most;riders;joggers|Most;joggers;riders|Most not;riders;joggers|Most not;joggers;riders|NVC,syllogistic-generalized,single-choice,21_participant_0,28,11874.0,OD3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,OD,ge,NVC,NVC,True,False,2021,True
29,29,Most;buyers;cyclists/Some not;buyers;students,Some not;cyclists;students,All;cyclists;students|All;students;cyclists|No;cyclists;students|No;students;cyclists|Some;cyclists;students|Some;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|Most;cyclists;students|Most;students;cyclists|Most not;cyclists;students|Most not;students;cyclists|NVC,syllogistic-generalized,single-choice,21_participant_0,29,24766.0,TO4,Oac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,OT,ge,O,e,False,False,2021,True
31,31,Some;dentists;lifeguards/Most;lifeguards;plumbers,NVC,All;dentists;plumbers|All;plumbers;dentists|No;dentists;plumbers|No;plumbers;dentists|Some;dentists;plumbers|Some;plumbers;dentists|Some not;dentists;plumbers|Some not;plumbers;dentists|Most;dentists;plumbers|Most;plumbers;dentists|Most not;dentists;plumbers|Most not;plumbers;dentists|NVC,syllogistic-generalized,single-choice,21_participant_0,31,28164.0,IT1,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,IT,ge,NVC,NVC,True,False,2021,True
32,32,Most;packers;tutors/No;tutors;butchers,No;butchers;packers,All;packers;butchers|All;butchers;packers|No;packers;butchers|No;butchers;packers|Some;packers;butchers|Some;butchers;packers|Some not;packers;butchers|Some not;butchers;packers|Most;packers;butchers|Most;butchers;packers|Most not;packers;butchers|Most not;butchers;packers|NVC,syllogistic-generalized,single-choice,21_participant_0,32,30441.0,TE1,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ET,ug,E,u,False,True,2021,True
34,34,All;managers;clerks/Most not;clerks;models,Most not;managers;models,All;managers;models|All;models;managers|No;managers;models|No;models;managers|Some;managers;models|Some;models;managers|Some not;managers;models|Some not;models;managers|Most;managers;models|Most;models;managers|Most not;managers;models|Most not;models;managers|NVC,syllogistic-generalized,single-choice,21_participant_0,34,158229.0,AD1,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AD,ug,D,g,False,False,2021,True
35,35,Some not;golfers;teachers/Most;teachers;bankers,Some not;golfers;bankers,All;golfers;bankers|All;bankers;golfers|No;golfers;bankers|No;bankers;golfers|Some;golfers;bankers|Some;bankers;golfers|Some not;golfers;bankers|Some not;bankers;golfers|Most;golfers;bankers|Most;bankers;golfers|Most not;golfers;bankers|Most not;bankers;golfers|NVC,syllogistic-generalized,single-choice,21_participant_0,35,149944.0,OT1,Oac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,OT,ge,O,e,False,False,2021,True
37,37,Most not;cyclists;students/Some;buyers;cyclists,Most not;buyers;students,All;students;buyers|All;buyers;students|No;students;buyers|No;buyers;students|Some;students;buyers|Some;buyers;students|Some not;students;buyers|Some not;buyers;students|Most;students;buyers|Most;buyers;students|Most not;students;buyers|Most not;buyers;students|NVC,syllogistic-generalized,single-choice,21_participant_0,37,15013.0,DI2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ID,ge,D,g,False,False,2021,True
38,38,Most;sculptors;gamblers/Most not;gamblers;bakers,Most not;sculptors;bakers,All;sculptors;bakers|All;bakers;sculptors|No;sculptors;bakers|No;bakers;sculptors|Some;sculptors;bakers|Some;bakers;sculptors|Some not;sculptors;bakers|Some not;bakers;sculptors|Most;sculptors;bakers|Most;bakers;sculptors|Most not;sculptors;bakers|Most not;bakers;sculptors|NVC,syllogistic-generalized,single-choice,21_participant_0,38,64790.0,TD1,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,TD,gg,D,g,False,False,2021,True
39,39,Most;cashiers;waiters/No;cashiers;poets,Some;waiters;poets,All;waiters;poets|All;poets;waiters|No;waiters;poets|No;poets;waiters|Some;waiters;poets|Some;poets;waiters|Some not;waiters;poets|Some not;poets;waiters|Most;waiters;poets|Most;poets;waiters|Most not;waiters;poets|Most not;poets;waiters|NVC,syllogistic-generalized,single-choice,21_participant_0,39,102991.0,TE4,Iac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ET,ug,I,e,False,True,2021,True
40,40,Most not;hikers;writers/All;drivers;hikers,Most not;drivers;writers,All;writers;drivers|All;drivers;writers|No;writers;drivers|No;drivers;writers|Some;writers;drivers|Some;drivers;writers|Some not;writers;drivers|Some not;drivers;writers|Most;writers;drivers|Most;drivers;writers|Most not;writers;drivers|Most not;drivers;writers|NVC,syllogistic-generalized,single-choice,21_participant_0,40,104063.0,DA2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AD,ug,D,g,False,False,2021,True
43,43,Some;tutors;butchers/Most not;packers;tutors,Most not;packers;butchers,All;butchers;packers|All;packers;butchers|No;butchers;packers|No;packers;butchers|Some;butchers;packers|Some;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|Most;butchers;packers|Most;packers;butchers|Most not;butchers;packers|Most not;packers;butchers|NVC,syllogistic-generalized,single-choice,21_participant_0,43,27631.0,ID2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ID,ge,D,g,False,False,2021,True
45,45,Most not;waiters;poets/Some not;cashiers;poets,NVC,All;waiters;cashiers|All;cashiers;waiters|No;waiters;cashiers|No;cashiers;waiters|Some;waiters;cashiers|Some;cashiers;waiters|Some not;waiters;cashiers|Some not;cashiers;waiters|Most;waiters;cashiers|Most;cashiers;waiters|Most not;waiters;cashiers|Most not;cashiers;waiters|NVC,syllogistic-generalized,single-choice,21_participant_0,45,12802.0,DO3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,OD,ge,NVC,NVC,True,False,2021,True
47,47,No;plumbers;dentists/Most not;lifeguards;dentists,Most not;lifeguards;plumbers,All;plumbers;lifeguards|All;lifeguards;plumbers|No;plumbers;lifeguards|No;lifeguards;plumbers|Some;plumbers;lifeguards|Some;lifeguards;plumbers|Some not;plumbers;lifeguards|Some not;lifeguards;plumbers|Most;plumbers;lifeguards|Most;lifeguards;plumbers|Most not;plumbers;lifeguards|Most not;lifeguards;plumbers|NVC,syllogistic-generalized,single-choice,21_participant_0,47,19241.0,ED3,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ED,ug,D,g,False,False,2021,True
48,48,No;agents;secretaries/Most not;brokers;agents,No;secretaries;brokers,All;secretaries;brokers|All;brokers;secretaries|No;secretaries;brokers|No;brokers;secretaries|Some;secretaries;brokers|Some;brokers;secretaries|Some not;secretaries;brokers|Some not;brokers;secretaries|Most;secretaries;brokers|Most;brokers;secretaries|Most not;secretaries;brokers|Most not;brokers;secretaries|NVC,syllogistic-generalized,single-choice,21_participant_0,48,112105.0,ED2,Eac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ED,ug,E,u,False,False,2021,True
56,56,Some not;managers;models/Most;managers;clerks,Some;models;clerks,All;models;clerks|All;clerks;models|No;models;clerks|No;clerks;models|Some;models;clerks|Some;clerks;models|Some not;models;clerks|Some not;clerks;models|Most;models;clerks|Most;clerks;models|Most not;models;clerks|Most not;clerks;models|NVC,syllogistic-generalized,single-choice,21_participant_0,56,62525.0,OT4,Iac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,OT,ge,I,e,False,False,2021,True
59,59,Most not;judges;porters/Most not;porters;brewers,NVC,All;judges;brewers|All;brewers;judges|No;judges;brewers|No;brewers;judges|Some;judges;brewers|Some;brewers;judges|Some not;judges;brewers|Some not;brewers;judges|Most;judges;brewers|Most;brewers;judges|Most not;judges;brewers|Most not;brewers;judges|NVC,syllogistic-generalized,single-choice,21_participant_0,59,17719.0,DD1,NVC,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,DD,gg,NVC,NVC,True,False,2021,True
61,61,Some not;secretaries;brokers/Most not;agents;secretaries,Some not;brokers;agents,All;brokers;agents|All;agents;brokers|No;brokers;agents|No;agents;brokers|Some;brokers;agents|Some;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|Most;brokers;agents|Most;agents;brokers|Most not;brokers;agents|Most not;agents;brokers|NVC,syllogistic-generalized,single-choice,21_participant_0,61,17911.0,OD2,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,OD,ge,O,e,False,False,2021,True
63,63,Most;travelers;novelists/Some;analysts;novelists,Some;analysts;travelers,All;travelers;analysts|All;analysts;travelers|No;travelers;analysts|No;analysts;travelers|Some;travelers;analysts|Some;analysts;travelers|Some not;travelers;analysts|Some not;analysts;travelers|Most;travelers;analysts|Most;analysts;travelers|Most not;travelers;analysts|Most not;analysts;travelers|NVC,syllogistic-generalized,single-choice,21_participant_0,63,21627.0,TI3,Ica,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,IT,ge,I,e,False,False,2021,True
64,64,Some;workers;actors/Most;workers;painters,Some;painters;actors,All;actors;painters|All;painters;actors|No;actors;painters|No;painters;actors|Some;actors;painters|Some;painters;actors|Some not;actors;painters|Some not;painters;actors|Most;actors;painters|Most;painters;actors|Most not;actors;painters|Most not;painters;actors|NVC,syllogistic-generalized,single-choice,21_participant_0,64,36604.0,IT4,Ica,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,IT,ge,I,e,False,False,2021,True
65,65,Most not;cooks;mayors/All;cooks;swimmers,Most not;swimmers;mayors,All;mayors;swimmers|All;swimmers;mayors|No;mayors;swimmers|No;swimmers;mayors|Some;mayors;swimmers|Some;swimmers;mayors|Some not;mayors;swimmers|Some not;swimmers;mayors|Most;mayors;swimmers|Most;swimmers;mayors|Most not;mayors;swimmers|Most not;swimmers;mayors|NVC,syllogistic-generalized,single-choice,21_participant_0,65,25950.0,DA4,Dca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AD,ug,D,g,False,True,2021,True
67,67,Most;typists;dancers/Most;boxers;typists,Most;boxers;dancers,All;dancers;boxers|All;boxers;dancers|No;dancers;boxers|No;boxers;dancers|Some;dancers;boxers|Some;boxers;dancers|Some not;dancers;boxers|Some not;boxers;dancers|Most;dancers;boxers|Most;boxers;dancers|Most not;dancers;boxers|Most not;boxers;dancers|NVC,syllogistic-generalized,single-choice,21_participant_0,67,10797.0,TT2,Tca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,TT,gg,T,g,False,False,2021,True
68,68,Most not;golfers;teachers/Most not;golfers;bankers,Some not;bankers;teachers,All;teachers;bankers|All;bankers;teachers|No;teachers;bankers|No;bankers;teachers|Some;teachers;bankers|Some;bankers;teachers|Some not;teachers;bankers|Some not;bankers;teachers|Most;teachers;bankers|Most;bankers;teachers|Most not;teachers;bankers|Most not;bankers;teachers|NVC,syllogistic-generalized,single-choice,21_participant_0,68,5108.0,DD4,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,DD,gg,O,e,False,False,2021,True
71,71,Most not;designers;trainers/Most not;architects;trainers,NVC,All;designers;architects|All;architects;designers|No;designers;architects|No;architects;designers|Some;designers;architects|Some;architects;designers|Some not;designers;architects|Some not;architects;designers|Most;designers;architects|Most;architects;designers|Most not;designers;architects|Most not;architects;designers|NVC,syllogistic-generalized,single-choice,21_participant_0,71,44486.0,DD3,NVC,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,DD,gg,NVC,NVC,True,False,2021,True
73,73,Some not;lawyers;athletes/Most;hunters;athletes,Some not;hunters;lawyers,All;lawyers;hunters|All;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|Most;lawyers;hunters|Most;hunters;lawyers|Most not;lawyers;hunters|Most not;hunters;lawyers|NVC,syllogistic-generalized,single-choice,21_participant_0,73,63479.0,OT3,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,OT,ge,O,e,False,False,2021,True
74,74,Some not;cleaners;auditors/Most not;auditors;painters,Some not;cleaners;painters,All;cleaners;painters|All;painters;cleaners|No;cleaners;painters|No;painters;cleaners|Some;cleaners;painters|Some;painters;cleaners|Some not;cleaners;painters|Some not;painters;cleaners|Most;cleaners;painters|Most;painters;cleaners|Most not;cleaners;painters|Most not;painters;cleaners|NVC,syllogistic-generalized,single-choice,21_participant_0,74,38287.0,OD1,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,OD,ge,O,e,False,False,2021,True
76,76,Most not;skaters;therapists/Some;climbers;therapists,Some not;skaters;climbers,All;skaters;climbers|All;climbers;skaters|No;skaters;climbers|No;climbers;skaters|Some;skaters;climbers|Some;climbers;skaters|Some not;skaters;climbers|Some not;climbers;skaters|Most;skaters;climbers|Most;climbers;skaters|Most not;skaters;climbers|Most not;climbers;skaters|NVC,syllogistic-generalized,single-choice,21_participant_0,76,26148.0,DI3,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,ID,ge,O,e,False,False,2021,True
77,77,Most;clerks;models/All;managers;clerks,Most;managers;models,All;models;managers|All;managers;models|No;models;managers|No;managers;models|Some;models;managers|Some;managers;models|Some not;models;managers|Some not;managers;models|Most;models;managers|Most;managers;models|Most not;models;managers|Most not;managers;models|NVC,syllogistic-generalized,single-choice,21_participant_0,77,31134.0,TA2,Tca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AT,ug,T,g,False,False,2021,True
78,78,Most not;scientists;runners/Some not;chefs;scientists,Some;chefs;runners,All;runners;chefs|All;chefs;runners|No;runners;chefs|No;chefs;runners|Some;runners;chefs|Some;chefs;runners|Some not;runners;chefs|Some not;chefs;runners|Most;runners;chefs|Most;chefs;runners|Most not;runners;chefs|Most not;chefs;runners|NVC,syllogistic-generalized,single-choice,21_participant_0,78,36358.0,DO2,Ica,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,OD,ge,I,e,False,False,2021,True
79,79,All;bankers;golfers/Most;teachers;bankers,Most;teachers;golfers,All;golfers;teachers|All;teachers;golfers|No;golfers;teachers|No;teachers;golfers|Some;golfers;teachers|Some;teachers;golfers|Some not;golfers;teachers|Some not;teachers;golfers|Most;golfers;teachers|Most;teachers;golfers|Most not;golfers;teachers|Most not;teachers;golfers|NVC,syllogistic-generalized,single-choice,21_participant_0,79,22220.0,AT2,Tca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,AT,ug,T,g,True,True,2021,True
81,81,Most;poets;skaters/Some;skaters;miners,Some;miners;poets,All;poets;miners|All;miners;poets|No;poets;miners|No;miners;poets|Some;poets;miners|Some;miners;poets|Some not;poets;miners|Some not;miners;poets|Most;poets;miners|Most;miners;poets|Most not;poets;miners|Most not;miners;poets|NVC,syllogistic-generalized,single-choice,21_participant_0,81,19971.0,TI1,Ica,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,IT,ge,I,e,False,False,2021,True
84,84,Most;farmers;scholars/Most not;assistants;scholars,Most not;assistants;farmers,All;farmers;assistants|All;assistants;farmers|No;farmers;assistants|No;assistants;farmers|Some;farmers;assistants|Some;assistants;farmers|Some not;farmers;assistants|Some not;assistants;farmers|Most;farmers;assistants|Most;assistants;farmers|Most not;farmers;assistants|Most not;assistants;farmers|NVC,syllogistic-generalized,single-choice,21_participant_0,84,3644.0,TD3,Dca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,TD,gg,D,g,False,False,2021,True
85,85,Most not;brewers;judges/No;brewers;porters,Most not;porters;judges,All;judges;porters|All;porters;judges|No;judges;porters|No;porters;judges|Some;judges;porters|Some;porters;judges|Some not;judges;porters|Some not;porters;judges|Most;judges;porters|Most;porters;judges|Most not;judges;porters|Most not;porters;judges|NVC,syllogistic-generalized,single-choice,21_participant_0,85,25237.0,DE4,Dca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2,ED,ug,D,g,False,False,2021,True
